entry_time,entry_price,entry_dir,entry_reason,exit_time,exit_price,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl,points,pnl,exit_reason,cost_points,cost_cash
2021-02-25 15:30:00,16359.0,LONG,15:15訊號進場,2021-02-26 15:30:00,15957.0,-402.0,2.0,4.0,-406.0,-81200.0,-406.0,-81200.0,15:15訊號翻正_平倉,4.0,800.0
2021-03-02 15:30:00,15932.0,LONG,15:15訊號進場,2021-03-17 13:15:00,16177.0,245.0,2.0,4.0,241.0,48200.0,241.0,48200.0,結算日13:15平倉,4.0,800.0
2021-03-26 15:30:00,16308.0,LONG,15:15訊號進場,2021-03-29 15:30:00,16447.0,139.0,2.0,4.0,135.0,27000.0,135.0,27000.0,15:15訊號翻正_平倉,4.0,800.0
2021-03-30 15:30:00,16535.0,LONG,15:15訊號進場,2021-03-31 15:30:00,16436.0,-99.0,2.0,4.0,-103.0,-20600.0,-103.0,-20600.0,15:15訊號翻正_平倉,4.0,800.0
2021-04-01 15:30:00,16572.0,LONG,15:15訊號進場,2021-04-09 15:30:00,16843.0,271.0,2.0,4.0,267.0,53400.0,267.0,53400.0,15:15訊號翻正_平倉,4.0,800.0
2021-04-14 15:30:00,16881.0,LONG,15:15訊號進場,2021-04-21 13:15:00,17232.0,351.0,2.0,4.0,347.0,69400.0,347.0,69400.0,結算日13:15平倉,4.0,800.0
2021-04-23 15:30:00,17274.0,LONG,15:15訊號進場,2021-04-28 15:30:00,17506.0,232.0,2.0,4.0,228.0,45600.0,228.0,45600.0,15:15訊號翻正_平倉,4.0,800.0
2021-04-29 15:30:00,17586.0,LONG,15:15訊號進場,2021-05-03 15:30:00,17284.0,-302.0,2.0,4.0,-306.0,-61200.0,-306.0,-61200.0,15:15訊號翻正_平倉,4.0,800.0
2021-05-06 15:30:00,17000.0,LONG,15:15訊號進場,2021-05-10 15:30:00,17153.0,153.0,2.0,4.0,149.0,29800.0,149.0,29800.0,15:15訊號翻正_平倉,4.0,800.0
2021-05-12 15:30:00,15805.0,LONG,15:15訊號進場,2021-05-19 13:15:00,16119.0,314.0,2.0,4.0,310.0,62000.0,310.0,62000.0,結算日13:15平倉,4.0,800.0
2021-05-19 15:30:00,15986.0,LONG,15:15訊號進場,2021-05-24 15:30:00,16335.0,349.0,2.0,4.0,345.0,69000.0,345.0,69000.0,15:15訊號翻正_平倉,4.0,800.0
2021-05-25 15:30:00,16612.0,LONG,15:15訊號進場,2021-05-26 15:30:00,16586.0,-26.0,2.0,4.0,-30.0,-6000.0,-30.0,-6000.0,15:15訊號翻正_平倉,4.0,800.0
2021-08-23 15:30:00,16641.0,LONG,15:15訊號進場,2021-08-24 15:30:00,16800.0,159.0,2.0,4.0,155.0,31000.0,155.0,31000.0,15:15訊號翻正_平倉,4.0,800.0
2021-08-25 15:30:00,16995.0,LONG,15:15訊號進場,2021-09-09 15:30:00,17274.0,279.0,2.0,4.0,275.0,55000.0,275.0,55000.0,15:15訊號翻正_平倉,4.0,800.0
2021-09-10 15:30:00,17469.0,LONG,15:15訊號進場,2021-09-13 15:30:00,17463.0,-6.0,2.0,4.0,-10.0,-2000.0,-10.0,-2000.0,15:15訊號翻正_平倉,4.0,800.0
2021-11-05 15:30:00,17253.0,LONG,15:15訊號進場,2021-11-10 15:30:00,17615.0,362.0,2.0,4.0,358.0,71600.0,358.0,71600.0,15:15訊號翻正_平倉,4.0,800.0
2021-11-17 15:30:00,17776.0,LONG,15:15訊號進場,2021-11-19 15:30:00,17836.0,60.0,2.0,4.0,56.0,11200.0,56.0,11200.0,15:15訊號翻正_平倉,4.0,800.0
2021-12-08 15:30:00,17857.0,LONG,15:15訊號進場,2021-12-10 15:30:00,17809.0,-48.0,2.0,4.0,-52.0,-10400.0,-52.0,-10400.0,15:15訊號翻正_平倉,4.0,800.0
2021-12-23 15:30:00,17959.0,LONG,15:15訊號進場,2022-01-07 15:30:00,18169.0,210.0,2.0,4.0,206.0,41200.0,206.0,41200.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-10 15:30:00,18292.0,LONG,15:15訊號進場,2022-01-11 15:30:00,18261.0,-31.0,2.0,4.0,-35.0,-7000.0,-35.0,-7000.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-13 15:30:00,18513.0,LONG,15:15訊號進場,2022-01-14 15:30:00,18409.0,-104.0,2.0,4.0,-108.0,-21600.0,-108.0,-21600.0,15:15訊號翻正_平倉,4.0,800.0
2022-01-17 15:30:00,18521.0,LONG,15:15訊號進場,2022-01-18 15:30:00,18381.0,-140.0,2.0,4.0,-144.0,-28800.0,-144.0,-28800.0,15:15訊號翻正_平倉,4.0,800.0
2022-02-09 15:30:00,18165.0,LONG,15:15訊號進場,2022-02-14 15:30:00,17971.0,-194.0,2.0,4.0,-198.0,-39600.0,-198.0,-39600.0,15:15訊號翻正_平倉,4.0,800.0
2022-02-16 15:30:00,18249.0,LONG,15:15訊號進場,2022-02-17 15:30:00,18242.0,-7.0,2.0,4.0,-11.0,-2200.0,-11.0,-2200.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-10 15:30:00,17431.0,LONG,15:15訊號進場,2022-03-11 15:30:00,17292.0,-139.0,2.0,4.0,-143.0,-28600.0,-143.0,-28600.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-16 15:30:00,16991.0,LONG,15:15訊號進場,2022-03-28 15:30:00,17487.0,496.0,2.0,4.0,492.0,98400.0,492.0,98400.0,15:15訊號翻正_平倉,4.0,800.0
2022-03-29 15:30:00,17578.0,LONG,15:15訊號進場,2022-03-31 15:30:00,17649.0,71.0,2.0,4.0,67.0,13400.0,67.0,13400.0,15:15訊號翻正_平倉,4.0,800.0
2022-04-01 15:30:00,17591.0,LONG,15:15訊號進場,2022-04-06 15:30:00,17502.0,-89.0,2.0,4.0,-93.0,-18600.0,-93.0,-18600.0,15:15訊號翻正_平倉,4.0,800.0
2022-04-13 15:30:00,17281.0,LONG,15:15訊號進場,2022-04-14 15:30:00,17316.0,35.0,2.0,4.0,31.0,6200.0,31.0,6200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-18 15:30:00,16198.0,LONG,15:15訊號進場,2022-05-19 15:30:00,15851.0,-347.0,2.0,4.0,-351.0,-70200.0,-351.0,-70200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-20 15:30:00,16158.0,LONG,15:15訊號進場,2022-05-23 15:30:00,16168.0,10.0,2.0,4.0,6.0,1200.0,6.0,1200.0,15:15訊號翻正_平倉,4.0,800.0
2022-05-27 15:30:00,16232.0,LONG,15:15訊號進場,2022-06-10 15:30:00,16433.0,201.0,2.0,4.0,197.0,39400.0,197.0,39400.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-21 15:30:00,14733.0,LONG,15:15訊號進場,2022-07-22 15:30:00,14785.0,52.0,2.0,4.0,48.0,9600.0,48.0,9600.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-25 15:30:00,14797.0,LONG,15:15訊號進場,2022-07-26 15:30:00,14721.0,-76.0,2.0,4.0,-80.0,-16000.0,-80.0,-16000.0,15:15訊號翻正_平倉,4.0,800.0
2022-07-27 15:30:00,14790.0,LONG,15:15訊號進場,2022-08-02 15:30:00,14637.0,-153.0,2.0,4.0,-157.0,-31400.0,-157.0,-31400.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-04 15:30:00,14647.0,LONG,15:15訊號進場,2022-08-10 15:30:00,14883.0,236.0,2.0,4.0,232.0,46400.0,232.0,46400.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-11 15:30:00,15228.0,LONG,15:15訊號進場,2022-08-17 13:15:00,15455.0,227.0,2.0,4.0,223.0,44600.0,223.0,44600.0,結算日13:15平倉,4.0,800.0
2022-08-17 15:30:00,15364.0,LONG,15:15訊號進場,2022-08-18 15:30:00,15298.0,-66.0,2.0,4.0,-70.0,-14000.0,-70.0,-14000.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-19 15:30:00,15332.0,LONG,15:15訊號進場,2022-08-22 15:30:00,15166.0,-166.0,2.0,4.0,-170.0,-34000.0,-170.0,-34000.0,15:15訊號翻正_平倉,4.0,800.0
2022-08-31 15:30:00,15003.0,LONG,15:15訊號進場,2022-09-01 15:30:00,14696.0,-307.0,2.0,4.0,-311.0,-62200.0,-311.0,-62200.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-02 15:30:00,13070.0,LONG,15:15訊號進場,2022-11-03 15:30:00,12926.0,-144.0,2.0,4.0,-148.0,-29600.0,-148.0,-29600.0,15:15訊號翻正_平倉,4.0,800.0
2022-11-04 15:30:00,13022.0,LONG,15:15訊號進場,2022-11-16 13:15:00,14500.0,1478.0,2.0,4.0,1474.0,294800.0,1474.0,294800.0,結算日13:15平倉,4.0,800.0
